t,T_inside,T_outside,soc,kwh_used,hvac,battery,electricity
1.0,23.333333333333332,30.0,0.5,0.0,0.0,0,0.0
2.0,24.444444444444443,30.0,0.5,0.0,0.0,0,0.0
3.0,25.37037037037037,30.0,0.5,0.0,0.0,0,0.0
4.0,26.141975308641975,30.0,0.5,0.0,0.0,0,0.0
5.0,26.78497942386831,30.0,0.5,0.0,0.0,0,0.0
6.0,27.320816186556925,30.0,0.5,0.0,0.0,0,0.0
7.0,27.767346822130772,30.0,0.5,0.0,0.0,0,0.0
8.0,28.139455685108977,30.0,0.5,0.0,0.0,0,0.0
9.0,28.449546404257482,30.0,0.5,0.0,0.0,0,0.0
10.0,28.707955336881234,30.0,0.5,0.0,0.0,0,0.0
11.0,28.923296114067696,30.0,0.5,0.0,0.0,0,0.0
12.0,29.10274676172308,30.0,0.5,0.0,0.0,0,0.0
13.0,29.252288968102565,30.0,0.5,0.0,0.0,0,0.0
14.0,29.376907473418804,30.0,0.5,0.0,0.0,0,0.0
15.0,29.480756227849003,30.0,0.5,0.0,0.0,0,0.0
16.0,29.567296856540835,30.0,0.5,0.0,0.0,0,0.0
17.0,29.639414047117363,30.0,0.5,0.0,0.0,0,0.0
18.0,29.699511705931137,30.0,0.5,0.0,0.0,0,0.0
19.0,29.749593088275947,30.0,0.5,0.0,0.0,0,0.0
20.0,29.79132757356329,30.0,0.5,0.0,0.0,0,0.0
21.0,29.82610631130274,30.0,0.5,0.0,0.0,0,0.0
22.0,29.855088592752285,30.0,0.5,0.0,0.0,0,0.0
23.0,29.87924049396024,30.0,0.5,0.0,0.0,0,0.0
24.0,29.899367078300198,30.0,0.5,0.0,0.0,0,0.0
25.0,29.91613923191683,30.0,0.5,0.0,0.0,0,0.0
26.0,29.930116026597357,30.0,0.5,0.0,0.0,0,0.0
27.0,29.941763355497798,30.0,0.5,0.0,0.0,0,0.0
28.0,29.951469462914833,30.0,0.5,0.0,0.0,0,0.0
29.0,29.95955788576236,30.0,0.5,0.0,0.0,0,0.0
30.0,29.966298238135302,30.0,0.5,0.0,0.0,0,0.0
31.0,29.971915198446084,30.0,0.5,0.0,0.0,0,0.0
32.0,29.97659599870507,30.0,0.5,0.0,0.0,0,0.0
33.0,29.98049666558756,30.0,0.5,0.0,0.0,0,0.0
34.0,29.983747221322965,30.0,0.5,0.0,0.0,0,0.0
35.0,29.986456017769136,30.0,0.5,0.0,0.0,0,0.0
36.0,29.988713348140948,30.0,0.5,0.0,0.0,0,0.0
37.0,29.990594456784123,30.0,0.5,0.0,0.0,0,0.0
38.0,29.992162047320104,30.0,0.5,0.0,0.0,0,0.0
39.0,29.993468372766753,30.0,0.5,0.0,0.0,0,0.0
40.0,29.994556977305628,30.0,0.5,0.0,0.0,0,0.0
41.0,29.99546414775469,30.0,0.5,0.0,0.0,0,0.0
42.0,29.996220123128907,30.0,0.5,0.0,0.0,0,0.0
43.0,29.99685010260742,30.0,0.5,0.0,0.0,0,0.0
44.0,29.997375085506185,30.0,0.5,0.0,0.0,0,0.0
45.0,29.997812571255153,30.0,0.5,0.0,0.0,0,0.0
46.0,29.998177142712628,30.0,0.5,0.0,0.0,0,0.0
47.0,29.998480952260522,30.0,0.5,0.0,0.0,0,0.0
48.0,29.998734126883768,30.0,0.5,0.0,0.0,0,0.0
49.0,29.998945105736475,30.0,0.5,0.0,0.0,0,0.0
50.0,29.999120921447062,30.0,0.5,0.0,0.0,0,0.0
51.0,29.99926743453922,30.0,0.5,0.0,0.0,0,0.0
52.0,29.999389528782682,30.0,0.5,0.0,0.0,0,0.0
53.0,29.99949127398557,30.0,0.5,0.0,0.0,0,0.0
54.0,29.99957606165464,30.0,0.5,0.0,0.0,0,0.0
55.0,29.999646718045533,30.0,0.5,0.0,0.0,0,0.0
