timestamp,t,day,dt_h,hour_of_day,month,season,dayofyear,t_out_c,price_eur_per_kwh,solar_gen_kw_per_kwp,in_work_hours
1/1/2025 0:00,0,1,0.25,0,1,winter,1,8.2825,39.91,0,0
1/2/2025 0:00,1,1,0.25,0.25,1,winter,1,8.22,-0.04,0,0
1/3/2025 0:00,2,1,0.25,0.5,1,winter,1,8.2025,-9.01,0,0
1/4/2025 0:00,3,1,0.25,0.75,1,winter,1,8.185,-29.91,0,0
1/5/2025 0:00,4,1,0.25,1,1,winter,1,8.1675,25.28,0,0
1/6/2025 0:00,5,1,0.25,1.25,1,winter,1,8.15,-24.91,0,0
1/7/2025 0:00,6,1,0.25,1.5,1,winter,1,8.185,-0.07,0,0
1/8/2025 0:00,7,1,0.25,1.75,1,winter,1,8.22,-0.08,0,0
1/9/2025 0:00,8,1,0.25,2,1,winter,1,8.255,-0.05,0,0
1/10/2025 0:00,9,1,0.25,2.25,1,winter,1,8.29,-0.06,0,0
1/11/2025 0:00,10,1,0.25,2.5,1,winter,1,8.2875,-0.04,0,0
1/12/2025 0:00,11,1,0.25,2.75,1,winter,1,8.285,-0.42,0,0
1/13/2025 0:00,12,1,0.25,3,1,winter,1,8.2825,22.4,0,0
1/14/2025 0:00,13,1,0.25,3.25,1,winter,1,8.28,-0.08,0,0
1/15/2025 0:00,14,1,0.25,3.5,1,winter,1,8.2775,-32.41,0,0
1/16/2025 0:00,15,1,0.25,3.75,1,winter,1,8.275,5.08,0,0
1/17/2025 0:00,16,1,0.25,4,1,winter,1,8.2725,-0.09,0,0
1/18/2025 0:00,17,1,0.25,4.25,1,winter,1,8.27,-8.63,0,0
1/19/2025 0:00,18,1,0.25,4.5,1,winter,1,8.2525,-0.08,0,0
1/20/2025 0:00,19,1,0.25,4.75,1,winter,1,8.235,-0.04,0,0
1/21/2025 0:00,20,1,0.25,5,1,winter,1,8.2175,-22.21,0,0
1/22/2025 0:00,21,1,0.25,5.25,1,winter,1,8.2,-0.02,0,0
1/23/2025 0:00,22,1,0.25,5.5,1,winter,1,8.1825,14.91,0,0
1/24/2025 0:00,23,1,0.25,5.75,1,winter,1,8.165,0,0,0
1/25/2025 0:00,24,1,0.25,6,1,winter,1,8.1475,-0.05,0,0
1/26/2025 0:00,25,1,0.25,6.25,1,winter,1,8.13,-22.75,0,0
1/27/2025 0:00,26,1,0.25,6.5,1,winter,1,8.0925,-44.9,0,0
1/28/2025 0:00,27,1,0.25,6.75,1,winter,1,8.055,-4.95,0,0
1/29/2025 0:00,28,1,0.25,7,1,winter,1,8.0175,-0.09,0,0
1/30/2025 0:00,29,1,0.25,7.25,1,winter,1,7.98,49.9,0,0
1/31/2025 0:00,30,1,0.25,7.5,1,winter,1,7.96,-0.07,0.0710025,0
2/1/2025 0:00,31,1,0.25,7.75,1,winter,1,7.94,-0.06,0.142005,0
2/2/2025 0:00,32,1,0.25,8,1,winter,1,7.92,-9.91,0.2130075,0
2/3/2025 0:00,33,1,0.25,8.25,1,winter,1,7.9,-4.68,0.28401,0
2/4/2025 0:00,34,1,0.25,8.5,1,winter,1,8.1625,-14.92,0.3215825,0
2/5/2025 0:00,35,1,0.25,8.75,1,winter,1,8.425,-0.1,0.359155,0
2/6/2025 0:00,36,1,0.25,9,1,winter,1,8.6875,11.62,0.3967275,1
2/7/2025 0:00,37,1,0.25,9.25,1,winter,1,8.95,-17.44,0.4343,1
2/8/2025 0:00,38,1,0.25,9.5,1,winter,1,9.4225,-19.91,0.430655,1
2/9/2025 0:00,39,1,0.25,9.75,1,winter,1,9.895,13.18,0.42701,1
2/10/2025 0:00,40,1,0.25,10,1,winter,1,10.3675,-0.01,0.423365,1
2/11/2025 0:00,41,1,0.25,10.25,1,winter,1,10.84,8.89,0.41972,1
2/12/2025 0:00,42,1,0.25,10.5,1,winter,1,11.2975,-0.1,0.445425,1
2/13/2025 0:00,43,1,0.25,10.75,1,winter,1,11.755,-17.41,0.47113,1
2/14/2025 0:00,44,1,0.25,11,1,winter,1,12.2125,-17.42,0.496835,1
2/15/2025 0:00,45,1,0.25,11.25,1,winter,1,12.67,-7.2,0.52254,1
2/16/2025 0:00,46,1,0.25,11.5,1,winter,1,12.995,-0.07,0.5279275,1
2/17/2025 0:00,47,1,0.25,11.75,1,winter,1,13.32,-17.42,0.533315,1
2/18/2025 0:00,48,1,0.25,12,1,winter,1,13.645,-19.9,0.5387025,1
2/19/2025 0:00,49,1,0.25,12.25,1,winter,1,13.97,-7.44,0.54409,1
2/20/2025 0:00,50,1,0.25,12.5,1,winter,1,14.085,-0.07,0.530375,1
2/21/2025 0:00,51,1,0.25,12.75,1,winter,1,14.2,12.18,0.51666,1
2/22/2025 0:00,52,1,0.25,13,1,winter,1,14.315,-0.05,0.502945,1
2/23/2025 0:00,53,1,0.25,13.25,1,winter,1,14.43,-14.93,0.48923,1
2/24/2025 0:00,54,1,0.25,13.5,1,winter,1,14.3325,-4.91,0.4469275,1
2/25/2025 0:00,55,1,0.25,13.75,1,winter,1,14.235,-0.07,0.404625,1
2/26/2025 0:00,56,1,0.25,14,1,winter,1,14.1375,-0.03,0.3623225,1
2/27/2025 0:00,57,1,0.25,14.25,1,winter,1,14.04,2.6,0.32002,1
2/28/2025 0:00,58,1,0.25,14.5,1,winter,1,13.7025,21.45,0.240015,1
3/1/2025 0:00,59,1,0.25,14.75,1,winter,1,13.365,-0.01,0.16001,1
3/2/2025 0:00,60,1,0.25,15,1,winter,1,13.0275,2.6,0.080005,1
3/3/2025 0:00,61,1,0.25,15.25,1,winter,1,12.69,20.1,0,1
3/4/2025 0:00,62,1,0.25,15.5,1,winter,1,12.2,80.97,0,1
3/5/2025 0:00,63,1,0.25,15.75,1,winter,1,11.71,7.59,0,1
3/6/2025 0:00,64,1,0.25,16,1,winter,1,11.22,17.59,0,1
3/7/2025 0:00,65,1,0.25,16.25,1,winter,1,10.73,54.31,0,1
3/8/2025 0:00,66,1,0.25,16.5,1,winter,1,10.385,84.9,0,1
3/9/2025 0:00,67,1,0.25,16.75,1,winter,1,10.04,77.41,0,1
3/10/2025 0:00,68,1,0.25,17,1,winter,1,9.695,27.59,0,1
3/11/2025 0:00,69,1,0.25,17.25,1,winter,1,9.35,32.59,0,0
3/12/2025 0:00,70,1,0.25,17.5,1,winter,1,9.16,27.58,0,0
3/13/2025 0:00,71,1,0.25,17.75,1,winter,1,8.97,30.09,0,0
3/14/2025 0:00,72,1,0.25,18,1,winter,1,8.78,71.08,0,0
3/15/2025 0:00,73,1,0.25,18.25,1,winter,1,8.59,25.09,0,0
3/16/2025 0:00,74,1,0.25,18.5,1,winter,1,8.7825,25.05,0,0
3/17/2025 0:00,75,1,0.25,18.75,1,winter,1,8.975,30.07,0,0
3/18/2025 0:00,76,1,0.25,19,1,winter,1,9.1675,79.92,0,0
3/19/2025 0:00,77,1,0.25,19.25,1,winter,1,9.36,46.43,0,0
3/20/2025 0:00,78,1,0.25,19.5,1,winter,1,9.26,20.1,0,0
3/21/2025 0:00,79,1,0.25,19.75,1,winter,1,9.16,79.9,0,0
3/22/2025 0:00,80,1,0.25,20,1,winter,1,9.06,20.09,0,0
3/23/2025 0:00,81,1,0.25,20.25,1,winter,1,8.96,35.29,0,0
3/24/2025 0:00,82,1,0.25,20.5,1,winter,1,8.835,15.1,0,0
3/25/2025 0:00,83,1,0.25,20.75,1,winter,1,8.71,79.91,0,0
3/26/2025 0:00,84,1,0.25,21,1,winter,1,8.585,32.72,0,0
3/27/2025 0:00,85,1,0.25,21.25,1,winter,1,8.46,15.07,0,0
3/28/2025 0:00,86,1,0.25,21.5,1,winter,1,8.3025,10.08,0,0
3/29/2025 0:00,87,1,0.25,21.75,1,winter,1,8.145,74.9,0,0
3/30/2025 0:00,88,1,0.25,22,1,winter,1,7.9875,15.07,0,0
3/31/2025 0:00,89,1,0.25,22.25,1,winter,1,7.83,10.08,0,0
4/1/2025 0:00,90,1,0.25,22.5,1,winter,1,7.66,5.05,0,0
4/2/2025 0:00,91,1,0.25,22.75,1,winter,1,7.49,74.93,0,0
4/3/2025 0:00,92,1,0.25,23,1,winter,1,7.32,56.11,0,0
4/4/2025 0:00,93,1,0.25,23.25,1,winter,1,7.15,7.59,0,0
