timestamp,t,day,dt_h,hour_of_day,month,season,dayofyear,t_out_c,price_eur_per_kwh,solar_gen_kw_per_kwp,in_work_hours
1/1/2025 0:00,0,1,0.25,0,1,winter,1,8.2825,39.91,0,0
1/1/2025 0:15,1,1,0.25,0.25,1,winter,1,8.22,-0.04,0,0
1/1/2025 0:30,2,1,0.25,0.5,1,winter,1,8.2025,-9.01,0,0
1/1/2025 0:45,3,1,0.25,0.75,1,winter,1,8.185,-29.91,0,0
1/1/2025 1:00,4,1,0.25,1,1,winter,1,8.1675,25.28,0,0
1/1/2025 1:15,5,1,0.25,1.25,1,winter,1,8.15,-24.91,0,0
1/1/2025 1:30,6,1,0.25,1.5,1,winter,1,8.185,-0.07,0,0
1/1/2025 1:45,7,1,0.25,1.75,1,winter,1,8.22,-0.08,0,0
1/1/2025 2:00,8,1,0.25,2,1,winter,1,8.255,-0.05,0,0
1/1/2025 2:15,9,1,0.25,2.25,1,winter,1,8.29,-0.06,0,0
1/1/2025 2:30,10,1,0.25,2.5,1,winter,1,8.2875,-0.04,0,0
1/1/2025 2:45,11,1,0.25,2.75,1,winter,1,8.285,-0.42,0,0
1/1/2025 3:00,12,1,0.25,3,1,winter,1,8.2825,22.4,0,0
1/1/2025 3:15,13,1,0.25,3.25,1,winter,1,8.28,-0.08,0,0
1/1/2025 3:30,14,1,0.25,3.5,1,winter,1,8.2775,-32.41,0,0
1/1/2025 3:45,15,1,0.25,3.75,1,winter,1,8.275,5.08,0,0
1/1/2025 4:00,16,1,0.25,4,1,winter,1,8.2725,-0.09,0,0
1/1/2025 4:15,17,1,0.25,4.25,1,winter,1,8.27,-8.63,0,0
1/1/2025 4:30,18,1,0.25,4.5,1,winter,1,8.2525,-0.08,0,0
1/1/2025 4:45,19,1,0.25,4.75,1,winter,1,8.235,-0.04,0,0
1/1/2025 5:00,20,1,0.25,5,1,winter,1,8.2175,-22.21,0,0
1/1/2025 5:15,21,1,0.25,5.25,1,winter,1,8.2,-0.02,0,0
1/1/2025 5:30,22,1,0.25,5.5,1,winter,1,8.1825,14.91,0,0
1/1/2025 5:45,23,1,0.25,5.75,1,winter,1,8.165,0,0,0
1/1/2025 6:00,24,1,0.25,6,1,winter,1,8.1475,-0.05,0,0
1/1/2025 6:15,25,1,0.25,6.25,1,winter,1,8.13,-22.75,0,0
1/1/2025 6:30,26,1,0.25,6.5,1,winter,1,8.0925,-44.9,0,0
1/1/2025 6:45,27,1,0.25,6.75,1,winter,1,8.055,-4.95,0,0
1/1/2025 7:00,28,1,0.25,7,1,winter,1,8.0175,-0.09,0,0
1/1/2025 7:15,29,1,0.25,7.25,1,winter,1,7.98,49.9,0,0
1/1/2025 7:30,30,1,0.25,7.5,1,winter,1,7.96,-0.07,0.0710025,0
1/1/2025 7:45,31,1,0.25,7.75,1,winter,1,7.94,-0.06,0.142005,0
1/1/2025 8:00,32,1,0.25,8,1,winter,1,7.92,-9.91,0.2130075,0
1/1/2025 8:15,33,1,0.25,8.25,1,winter,1,7.9,-4.68,0.28401,0
1/1/2025 8:30,34,1,0.25,8.5,1,winter,1,8.1625,-14.92,0.3215825,0
1/1/2025 8:45,35,1,0.25,8.75,1,winter,1,8.425,-0.1,0.359155,0
1/1/2025 9:00,36,1,0.25,9,1,winter,1,8.6875,11.62,0.3967275,1
1/1/2025 9:15,37,1,0.25,9.25,1,winter,1,8.95,-17.44,0.4343,1
1/1/2025 9:30,38,1,0.25,9.5,1,winter,1,9.4225,-19.91,0.430655,1
1/1/2025 9:45,39,1,0.25,9.75,1,winter,1,9.895,13.18,0.42701,1
1/1/2025 10:00,40,1,0.25,10,1,winter,1,10.3675,-0.01,0.423365,1
1/1/2025 10:15,41,1,0.25,10.25,1,winter,1,10.84,8.89,0.41972,1
1/1/2025 10:30,42,1,0.25,10.5,1,winter,1,11.2975,-0.1,0.445425,1
1/1/2025 10:45,43,1,0.25,10.75,1,winter,1,11.755,-17.41,0.47113,1
1/1/2025 11:00,44,1,0.25,11,1,winter,1,12.2125,-17.42,0.496835,1
1/1/2025 11:15,45,1,0.25,11.25,1,winter,1,12.67,-7.2,0.52254,1
1/1/2025 11:30,46,1,0.25,11.5,1,winter,1,12.995,-0.07,0.5279275,1
1/1/2025 11:45,47,1,0.25,11.75,1,winter,1,13.32,-17.42,0.533315,1
1/1/2025 12:00,48,1,0.25,12,1,winter,1,13.645,-19.9,0.5387025,1
1/1/2025 12:15,49,1,0.25,12.25,1,winter,1,13.97,-7.44,0.54409,1
1/1/2025 12:30,50,1,0.25,12.5,1,winter,1,14.085,-0.07,0.530375,1
1/1/2025 12:45,51,1,0.25,12.75,1,winter,1,14.2,12.18,0.51666,1
1/1/2025 13:00,52,1,0.25,13,1,winter,1,14.315,-0.05,0.502945,1
1/1/2025 13:15,53,1,0.25,13.25,1,winter,1,14.43,-14.93,0.48923,1
1/1/2025 13:30,54,1,0.25,13.5,1,winter,1,14.3325,-4.91,0.4469275,1
1/1/2025 13:45,55,1,0.25,13.75,1,winter,1,14.235,-0.07,0.404625,1
1/1/2025 14:00,56,1,0.25,14,1,winter,1,14.1375,-0.03,0.3623225,1
1/1/2025 14:15,57,1,0.25,14.25,1,winter,1,14.04,2.6,0.32002,1
1/1/2025 14:30,58,1,0.25,14.5,1,winter,1,13.7025,21.45,0.240015,1
1/1/2025 14:45,59,1,0.25,14.75,1,winter,1,13.365,-0.01,0.16001,1
1/1/2025 15:00,60,1,0.25,15,1,winter,1,13.0275,2.6,0.080005,1
1/1/2025 15:15,61,1,0.25,15.25,1,winter,1,12.69,20.1,0,1
1/1/2025 15:30,62,1,0.25,15.5,1,winter,1,12.2,80.97,0,1
1/1/2025 15:45,63,1,0.25,15.75,1,winter,1,11.71,7.59,0,1
1/1/2025 16:00,64,1,0.25,16,1,winter,1,11.22,17.59,0,1
1/1/2025 16:15,65,1,0.25,16.25,1,winter,1,10.73,54.31,0,1
1/1/2025 16:30,66,1,0.25,16.5,1,winter,1,10.385,84.9,0,1
1/1/2025 16:45,67,1,0.25,16.75,1,winter,1,10.04,77.41,0,1
1/1/2025 17:00,68,1,0.25,17,1,winter,1,9.695,27.59,0,1
1/1/2025 17:15,69,1,0.25,17.25,1,winter,1,9.35,32.59,0,0
1/1/2025 17:30,70,1,0.25,17.5,1,winter,1,9.16,27.58,0,0
1/1/2025 17:45,71,1,0.25,17.75,1,winter,1,8.97,30.09,0,0
1/1/2025 18:00,72,1,0.25,18,1,winter,1,8.78,71.08,0,0
1/1/2025 18:15,73,1,0.25,18.25,1,winter,1,8.59,25.09,0,0
1/1/2025 18:30,74,1,0.25,18.5,1,winter,1,8.7825,25.05,0,0
1/1/2025 18:45,75,1,0.25,18.75,1,winter,1,8.975,30.07,0,0
1/1/2025 19:00,76,1,0.25,19,1,winter,1,9.1675,79.92,0,0
1/1/2025 19:15,77,1,0.25,19.25,1,winter,1,9.36,46.43,0,0
1/1/2025 19:30,78,1,0.25,19.5,1,winter,1,9.26,20.1,0,0
1/1/2025 19:45,79,1,0.25,19.75,1,winter,1,9.16,79.9,0,0
1/1/2025 20:00,80,1,0.25,20,1,winter,1,9.06,20.09,0,0
1/1/2025 20:15,81,1,0.25,20.25,1,winter,1,8.96,35.29,0,0
1/1/2025 20:30,82,1,0.25,20.5,1,winter,1,8.835,15.1,0,0
1/1/2025 20:45,83,1,0.25,20.75,1,winter,1,8.71,79.91,0,0
1/1/2025 21:00,84,1,0.25,21,1,winter,1,8.585,32.72,0,0
1/1/2025 21:15,85,1,0.25,21.25,1,winter,1,8.46,15.07,0,0
1/1/2025 21:30,86,1,0.25,21.5,1,winter,1,8.3025,10.08,0,0
1/1/2025 21:45,87,1,0.25,21.75,1,winter,1,8.145,74.9,0,0
1/1/2025 22:00,88,1,0.25,22,1,winter,1,7.9875,15.07,0,0
1/1/2025 22:15,89,1,0.25,22.25,1,winter,1,7.83,10.08,0,0
1/1/2025 22:30,90,1,0.25,22.5,1,winter,1,7.66,5.05,0,0
1/1/2025 22:45,91,1,0.25,22.75,1,winter,1,7.49,74.93,0,0
1/1/2025 23:00,92,1,0.25,23,1,winter,1,7.32,56.11,0,0
1/1/2025 23:15,93,1,0.25,23.25,1,winter,1,7.15,7.59,0,0
1/1/2025 23:30,94,1,0.25,23.5,1,winter,1,7.0375,5.07,0,0
1/1/2025 23:45,95,1,0.25,23.75,1,winter,1,6.925,67.42,0,0
1/2/2025 0:00,96,2,0.25,0,1,winter,2,6.8125,10.09,0,0
1/2/2025 0:15,97,2,0.25,0.25,1,winter,2,6.7,40.84,0,0
1/2/2025 0:30,98,2,0.25,0.5,1,winter,2,6.6125,-0.01,0,0
1/2/2025 0:45,99,2,0.25,0.75,1,winter,2,6.525,42.88,0,0
1/2/2025 1:00,100,2,0.25,1,1,winter,2,6.4375,5.1,0,0
1/2/2025 1:15,101,2,0.25,1.25,1,winter,2,6.35,54.9,0,0
1/2/2025 1:30,102,2,0.25,1.5,1,winter,2,6.27,0.09,0,0
1/2/2025 1:45,103,2,0.25,1.75,1,winter,2,6.19,30.18,0,0
1/2/2025 2:00,104,2,0.25,2,1,winter,2,6.11,2.58,0,0
1/2/2025 2:15,105,2,0.25,2.25,1,winter,2,6.03,2.57,0,0
1/2/2025 2:30,106,2,0.25,2.5,1,winter,2,5.945,54.91,0,0
1/2/2025 2:45,107,2,0.25,2.75,1,winter,2,5.86,2.57,0,0
1/2/2025 3:00,108,2,0.25,3,1,winter,2,5.775,2.58,0,0
1/2/2025 3:15,109,2,0.25,3.25,1,winter,2,5.69,27.41,0,0
1/2/2025 3:30,110,2,0.25,3.5,1,winter,2,5.61,57.45,0,0
1/2/2025 3:45,111,2,0.25,3.75,1,winter,2,5.53,-24.98,0,0
1/2/2025 4:00,112,2,0.25,4,1,winter,2,5.45,-0.06,0,0
1/2/2025 4:15,113,2,0.25,4.25,1,winter,2,5.37,5.09,0,0
1/2/2025 4:30,114,2,0.25,4.5,1,winter,2,5.3025,152.11,0,0
1/2/2025 4:45,115,2,0.25,4.75,1,winter,2,5.235,-4.9,0,0
1/2/2025 5:00,116,2,0.25,5,1,winter,2,5.1675,37.54,0,0
1/2/2025 5:15,117,2,0.25,5.25,1,winter,2,5.1,69.91,0,0
1/2/2025 5:30,118,2,0.25,5.5,1,winter,2,5.02,84.92,0,0
1/2/2025 5:45,119,2,0.25,5.75,1,winter,2,4.94,54.94,0,0
1/2/2025 6:00,120,2,0.25,6,1,winter,2,4.86,69.97,0,0
1/2/2025 6:15,121,2,0.25,6.25,1,winter,2,4.78,84.97,0,0
1/2/2025 6:30,122,2,0.25,6.5,1,winter,2,4.7525,110.05,0,0
1/2/2025 6:45,123,2,0.25,6.75,1,winter,2,4.725,20.1,0,0
1/2/2025 7:00,124,2,0.25,7,1,winter,2,4.6975,82.41,0,0
1/2/2025 7:15,125,2,0.25,7.25,1,winter,2,4.67,71.16,0,0
1/2/2025 7:30,126,2,0.25,7.5,1,winter,2,4.6975,92.41,0.0745175,0
1/2/2025 7:45,127,2,0.25,7.75,1,winter,2,4.725,84.9,0.149035,0
1/2/2025 8:00,128,2,0.25,8,1,winter,2,4.7525,79.93,0.2235525,0
1/2/2025 8:15,129,2,0.25,8.25,1,winter,2,4.78,87.41,0.29807,0
1/2/2025 8:30,130,2,0.25,8.5,1,winter,2,5.1525,89.92,0.249115,0
1/2/2025 8:45,131,2,0.25,8.75,1,winter,2,5.525,74.98,0.20016,0
1/2/2025 9:00,132,2,0.25,9,1,winter,2,5.8975,87.42,0.151205,1
1/2/2025 9:15,133,2,0.25,9.25,1,winter,2,6.27,89.92,0.10225,1
1/2/2025 9:30,134,2,0.25,9.5,1,winter,2,6.8125,89.95,0.1218225,1
1/2/2025 9:45,135,2,0.25,9.75,1,winter,2,7.355,87.42,0.141395,1
1/2/2025 10:00,136,2,0.25,10,1,winter,2,7.8975,44,0.1609675,1
1/2/2025 10:15,137,2,0.25,10.25,1,winter,2,8.44,89.9,0.18054,1
1/2/2025 10:30,138,2,0.25,10.5,1,winter,2,8.9275,87.42,0.182765,1
1/2/2025 10:45,139,2,0.25,10.75,1,winter,2,9.415,84.91,0.18499,1
1/2/2025 11:00,140,2,0.25,11,1,winter,2,9.9025,27.59,0.187215,1
1/2/2025 11:15,141,2,0.25,11.25,1,winter,2,10.39,69.88,0.18944,1
1/2/2025 11:30,142,2,0.25,11.5,1,winter,2,10.705,30.1,0.1774575,1
1/2/2025 11:45,143,2,0.25,11.75,1,winter,2,11.02,82.42,0.165475,1
1/2/2025 12:00,144,2,0.25,12,1,winter,2,11.335,79.91,0.1534925,1
1/2/2025 12:15,145,2,0.25,12.25,1,winter,2,11.65,82.43,0.14151,1
